=================================================
--- Procesamiento iniciado: 2026-04-08 13:42:53 ---
=================================================
=================================================
--- Procesamiento iniciado: 2026-04-22 13:07:05 ---
=================================================
[2026-04-22 13:07:05] | Línea 47 | ERROR: Kilos no es un número válido: '---' | Contenido: '1047;Lugo;---;Entregado'
[2026-04-22 13:07:05] | Línea 228 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '1228;Valencia;3939.71;En_Almacén;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 242 | ERROR: Kilos no es un número válido: '---' | Contenido: '1242;Las_Palmas;---;Cancelado'
[2026-04-22 13:07:05] | Línea 256 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '1256;Burgos;-3768.46;Retrasado'
[2026-04-22 13:07:05] | Línea 266 | ERROR: ID de envío vacío | Contenido: ';;274.18;Devuelto'
[2026-04-22 13:07:05] | Línea 270 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '1270;Burgos;SENSOR_FAIL;Devuelto'
[2026-04-22 13:07:05] | Línea 271 | ERROR: Kilos no es un número válido: '??' | Contenido: '1271;Córdoba;??;Devuelto'
[2026-04-22 13:07:05] | Línea 278 | ERROR: Kilos no es un número válido: '---' | Contenido: '1278;Zaragoza;---;Devuelto'
[2026-04-22 13:07:05] | Línea 280 | ERROR: Kilos no es un número válido: 'null' | Contenido: '1280;Vitoria;null;En_Ruta'
[2026-04-22 13:07:05] | Línea 289 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '1289;Segovia;SENSOR_FAIL;Pendiente'
[2026-04-22 13:07:05] | Línea 307 | ERROR: Destino vacío | Contenido: '1307;;1739.94;Cancelado'
[2026-04-22 13:07:05] | Línea 337 | ERROR: Destino vacío | Contenido: '1337;;622.97;Pendiente'
[2026-04-22 13:07:05] | Línea 341 | ERROR: Destino vacío | Contenido: '1341;;3538.35;Devuelto'
[2026-04-22 13:07:05] | Línea 346 | ERROR: Destino vacío | Contenido: '1346;;2744.79;En_Ruta'
[2026-04-22 13:07:05] | Línea 413 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '1413;Barcelona;N/A;Entregado'
[2026-04-22 13:07:05] | Línea 416 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '1416;Terrassa;4854.97;Devuelto;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 417 | ERROR: ID de envío vacío | Contenido: ';;2461.91;En_Ruta'
[2026-04-22 13:07:05] | Línea 425 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '1425;Santa_Cruz;-4227.74;Retrasado'
[2026-04-22 13:07:05] | Línea 426 | ERROR: Destino vacío | Contenido: '1426;;761.62;Devuelto'
[2026-04-22 13:07:05] | Línea 442 | ERROR: Destino vacío | Contenido: '1442;;1695.15;Devuelto'
[2026-04-22 13:07:05] | Línea 448 | ERROR: Destino vacío | Contenido: '1448;;1727.58;En_Almacén'
[2026-04-22 13:07:05] | Línea 463 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '1463;Valladolid;OVERFLOW;Entregado'
[2026-04-22 13:07:05] | Línea 481 | ERROR: Kilos no es un número válido: '---' | Contenido: '1481;Santander;---;Devuelto'
[2026-04-22 13:07:05] | Línea 503 | ERROR: ID de envío vacío | Contenido: ';;2930.91;Devuelto'
[2026-04-22 13:07:05] | Línea 524 | ERROR: ID de envío vacío | Contenido: ';;2727.75;Cancelado'
[2026-04-22 13:07:05] | Línea 529 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '1529;Almería;OVERFLOW;Entregado'
[2026-04-22 13:07:05] | Línea 532 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '1532;Ávila;ERROR_PESO;Entregado'
[2026-04-22 13:07:05] | Línea 536 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '1536;Oviedo;-4386.46;En_Almacén'
[2026-04-22 13:07:05] | Línea 540 | ERROR: Kilos no es un número válido: '---' | Contenido: '1540;Santander;---;En_Almacén'
[2026-04-22 13:07:05] | Línea 541 | ERROR: ID de envío vacío | Contenido: ';;130.83;Retrasado'
[2026-04-22 13:07:05] | Línea 550 | ERROR: Destino vacío | Contenido: '1550;;1913.45;En_Almacén'
[2026-04-22 13:07:05] | Línea 565 | ERROR: Destino vacío | Contenido: '1565;;360.83;Pendiente'
[2026-04-22 13:07:05] | Línea 575 | ERROR: Destino vacío | Contenido: '1575;;3894.12;En_Almacén'
[2026-04-22 13:07:05] | Línea 585 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '1585;Santander;N/A;Retrasado'
[2026-04-22 13:07:05] | Línea 618 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '1618;Alicante;-3535.02;Entregado'
[2026-04-22 13:07:05] | Línea 621 | ERROR: ID de envío vacío | Contenido: ';;319.52;Entregado'
[2026-04-22 13:07:05] | Línea 622 | ERROR: Kilos no es un número válido: '---' | Contenido: '1622;Jerez;---;En_Ruta'
[2026-04-22 13:07:05] | Línea 626 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '1626;Hospitalet;ERROR_PESO;Retrasado'
[2026-04-22 13:07:05] | Línea 629 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '1629;Ávila;ERROR_PESO;En_Ruta'
[2026-04-22 13:07:05] | Línea 639 | ERROR: Destino vacío | Contenido: '1639;;3873.34;Devuelto'
[2026-04-22 13:07:05] | Línea 645 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '1645;Sabadell;-1832.02;Cancelado'
[2026-04-22 13:07:05] | Línea 669 | ERROR: Destino vacío | Contenido: '1669;;1551.1;Cancelado'
[2026-04-22 13:07:05] | Línea 693 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '1693;Madrid;OVERFLOW;Devuelto'
[2026-04-22 13:07:05] | Línea 724 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '1724;Cádiz;3533.1;Cancelado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 741 | ERROR: Destino vacío | Contenido: '1741;;4247.09;Devuelto'
[2026-04-22 13:07:05] | Línea 749 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '1749;Alicante;SENSOR_FAIL;Entregado'
[2026-04-22 13:07:05] | Línea 761 | ERROR: Destino vacío | Contenido: '1761;;389.56;Retrasado'
[2026-04-22 13:07:05] | Línea 765 | ERROR: Kilos no es un número válido: '---' | Contenido: '1765;Cuenca;---;Devuelto'
[2026-04-22 13:07:05] | Línea 782 | ERROR: ID de envío vacío | Contenido: ';;1590.9;En_Ruta'
[2026-04-22 13:07:05] | Línea 784 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '1784;Badajoz;299.01;Cancelado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 789 | ERROR: ID de envío vacío | Contenido: ';;3481.93;Cancelado'
[2026-04-22 13:07:05] | Línea 825 | ERROR: Kilos no es un número válido: '??' | Contenido: '1825;Badalona;??;Devuelto'
[2026-04-22 13:07:05] | Línea 831 | ERROR: Destino vacío | Contenido: '1831;;3549.59;Devuelto'
[2026-04-22 13:07:05] | Línea 847 | ERROR: Destino vacío | Contenido: '1847;;3330.24;Devuelto'
[2026-04-22 13:07:05] | Línea 878 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '1878;Murcia;-178.91;Entregado'
[2026-04-22 13:07:05] | Línea 916 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '1916;Santa_Cruz;-1167.69;Retrasado'
[2026-04-22 13:07:05] | Línea 917 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '1917;Almería;2847.17;Cancelado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 920 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '1920;Logroño;OVERFLOW;En_Almacén'
[2026-04-22 13:07:05] | Línea 924 | ERROR: Destino vacío | Contenido: '1924;;2452.38;Entregado'
[2026-04-22 13:07:05] | Línea 932 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '1932;Burgos;1179.9;En_Almacén;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 934 | ERROR: Destino vacío | Contenido: '1934;;805.89;Cancelado'
[2026-04-22 13:07:05] | Línea 939 | ERROR: Destino vacío | Contenido: '1939;;1819.2;Retrasado'
[2026-04-22 13:07:05] | Línea 946 | ERROR: Destino vacío | Contenido: '1946;;811.24;En_Almacén'
[2026-04-22 13:07:05] | Línea 969 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '1969;Almería;OVERFLOW;Retrasado'
[2026-04-22 13:07:05] | Línea 973 | ERROR: Destino vacío | Contenido: '1973;;2141.62;En_Ruta'
[2026-04-22 13:07:05] | Línea 986 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '1986;Pamplona;OVERFLOW;Cancelado'
[2026-04-22 13:07:05] | Línea 991 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '1991;Sabadell;1634.19;Devuelto;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 996 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '1996;Ávila;-2490.81;En_Ruta'
[2026-04-22 13:07:05] | Línea 1016 | ERROR: Kilos no es un número válido: '---' | Contenido: '2016;Gijón;---;Entregado'
[2026-04-22 13:07:05] | Línea 1029 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '2029;Hospitalet;-1613.94;Entregado'
[2026-04-22 13:07:05] | Línea 1036 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '2036;Badajoz;-4303.06;En_Almacén'
[2026-04-22 13:07:05] | Línea 1051 | ERROR: ID de envío vacío | Contenido: ';;2745.23;Cancelado'
[2026-04-22 13:07:05] | Línea 1055 | ERROR: Destino vacío | Contenido: '2055;;3188.87;Pendiente'
[2026-04-22 13:07:05] | Línea 1068 | ERROR: ID de envío vacío | Contenido: ';;4342.13;En_Almacén'
[2026-04-22 13:07:05] | Línea 1071 | ERROR: ID de envío vacío | Contenido: ';;3519.27;Pendiente'
[2026-04-22 13:07:05] | Línea 1100 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '2100;León;ERROR_PESO;Cancelado'
[2026-04-22 13:07:05] | Línea 1110 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '2110;Segovia;4148.82;Entregado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 1120 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '2120;Palma;958.8;Cancelado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 1136 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '2136;Cuenca;N/A;Retrasado'
[2026-04-22 13:07:05] | Línea 1150 | ERROR: Kilos no es un número válido: 'null' | Contenido: '2150;Toledo;null;Devuelto'
[2026-04-22 13:07:05] | Línea 1153 | ERROR: Kilos no es un número válido: 'null' | Contenido: '2153;Bilbao;null;En_Ruta'
[2026-04-22 13:07:05] | Línea 1155 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '2155;Murcia;3600.88;Devuelto;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 1159 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '2159;Vitoria;-646.35;Devuelto'
[2026-04-22 13:07:05] | Línea 1177 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '2177;Toledo;N/A;Entregado'
[2026-04-22 13:07:05] | Línea 1181 | ERROR: Destino vacío | Contenido: '2181;;348.87;En_Almacén'
[2026-04-22 13:07:05] | Línea 1210 | ERROR: Destino vacío | Contenido: '2210;;4906.57;Pendiente'
[2026-04-22 13:07:05] | Línea 1227 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '2227;Cartagena;442.7;Devuelto;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 1231 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '2231;Santa_Cruz;OVERFLOW;Retrasado'
[2026-04-22 13:07:05] | Línea 1242 | ERROR: Kilos no es un número válido: '??' | Contenido: '2242;Córdoba;??;Devuelto'
[2026-04-22 13:07:05] | Línea 1268 | ERROR: Kilos no es un número válido: '---' | Contenido: '2268;Fuenlabrada;---;En_Almacén'
[2026-04-22 13:07:05] | Línea 1271 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '2271;Cartagena;N/A;Devuelto'
[2026-04-22 13:07:05] | Línea 1275 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '2275;Badalona;-1640.5;En_Ruta'
[2026-04-22 13:07:05] | Línea 1292 | ERROR: Destino vacío | Contenido: '2292;;2809.09;Entregado'
[2026-04-22 13:07:05] | Línea 1305 | ERROR: Kilos no es un número válido: 'null' | Contenido: '2305;Barcelona;null;En_Almacén'
[2026-04-22 13:07:05] | Línea 1375 | ERROR: ID de envío vacío | Contenido: ';;3498.21;Devuelto'
[2026-04-22 13:07:05] | Línea 1383 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '2383;Oviedo;N/A;En_Almacén'
[2026-04-22 13:07:05] | Línea 1384 | ERROR: ID de envío vacío | Contenido: ';;4099.7;Devuelto'
[2026-04-22 13:07:05] | Línea 1398 | ERROR: Kilos no es un número válido: '---' | Contenido: '2398;Murcia;---;Devuelto'
[2026-04-22 13:07:05] | Línea 1447 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '2447;Cuenca;OVERFLOW;Devuelto'
[2026-04-22 13:07:05] | Línea 1451 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '2451;Córdoba;-1825.68;Cancelado'
[2026-04-22 13:07:05] | Línea 1460 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '2460;Sevilla;4888.72;Retrasado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 1498 | ERROR: ID de envío vacío | Contenido: ';;1245.66;Retrasado'
[2026-04-22 13:07:05] | Línea 1505 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '2505;Oviedo;OVERFLOW;En_Almacén'
[2026-04-22 13:07:05] | Línea 1514 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '2514;Granada;SENSOR_FAIL;Pendiente'
[2026-04-22 13:07:05] | Línea 1521 | ERROR: Destino vacío | Contenido: '2521;;1695.19;Pendiente'
[2026-04-22 13:07:05] | Línea 1539 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '2539;Hospitalet;-19.39;Devuelto'
[2026-04-22 13:07:05] | Línea 1550 | ERROR: Kilos no es un número válido: 'null' | Contenido: '2550;Hospitalet;null;En_Ruta'
[2026-04-22 13:07:05] | Línea 1551 | ERROR: Destino vacío | Contenido: '2551;;3628.1;En_Almacén'
[2026-04-22 13:07:05] | Línea 1557 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '2557;Valladolid;-2986.41;En_Almacén'
[2026-04-22 13:07:05] | Línea 1560 | ERROR: Kilos no es un número válido: '---' | Contenido: '2560;Valencia;---;Retrasado'
[2026-04-22 13:07:05] | Línea 1570 | ERROR: Kilos no es un número válido: 'null' | Contenido: '2570;Hospitalet;null;Cancelado'
[2026-04-22 13:07:05] | Línea 1573 | ERROR: Destino vacío | Contenido: '2573;;4333.71;En_Almacén'
[2026-04-22 13:07:05] | Línea 1594 | ERROR: ID de envío vacío | Contenido: ';;145.69;En_Ruta'
[2026-04-22 13:07:05] | Línea 1610 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '2610;Córdoba;2811.46;Pendiente;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 1620 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '2620;Segovia;N/A;Cancelado'
[2026-04-22 13:07:05] | Línea 1632 | ERROR: Destino vacío | Contenido: '2632;;3153.75;En_Almacén'
[2026-04-22 13:07:05] | Línea 1647 | ERROR: Kilos no es un número válido: 'null' | Contenido: '2647;Leganés;null;En_Almacén'
[2026-04-22 13:07:05] | Línea 1648 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '2648;Zaragoza;N/A;Pendiente'
[2026-04-22 13:07:05] | Línea 1658 | ERROR: Destino vacío | Contenido: '2658;;1417.47;Pendiente'
[2026-04-22 13:07:05] | Línea 1663 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '2663;Cartagena;-645.78;En_Ruta'
[2026-04-22 13:07:05] | Línea 1694 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '2694;Albacete;OVERFLOW;En_Ruta'
[2026-04-22 13:07:05] | Línea 1700 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '2700;Salamanca;N/A;Entregado'
[2026-04-22 13:07:05] | Línea 1702 | ERROR: ID de envío vacío | Contenido: ';;1772.08;Cancelado'
[2026-04-22 13:07:05] | Línea 1703 | ERROR: Kilos no es un número válido: '---' | Contenido: '2703;Valencia;---;En_Ruta'
[2026-04-22 13:07:05] | Línea 1728 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '2728;Cartagena;4266.28;En_Almacén;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 1735 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '2735;Valladolid;SENSOR_FAIL;Retrasado'
[2026-04-22 13:07:05] | Línea 1746 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '2746;Tarragona;-4968.25;Cancelado'
[2026-04-22 13:07:05] | Línea 1748 | ERROR: ID de envío vacío | Contenido: ';;1926.9;Devuelto'
[2026-04-22 13:07:05] | Línea 1796 | ERROR: ID de envío vacío | Contenido: ';;4035.07;Devuelto'
[2026-04-22 13:07:05] | Línea 1799 | ERROR: Kilos no es un número válido: '---' | Contenido: '2799;Tarragona;---;Cancelado'
[2026-04-22 13:07:05] | Línea 1809 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '2809;Santa_Cruz;OVERFLOW;Cancelado'
[2026-04-22 13:07:05] | Línea 1833 | ERROR: ID de envío vacío | Contenido: ';;3517.2;Retrasado'
[2026-04-22 13:07:05] | Línea 1842 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '2842;Salamanca;N/A;Devuelto'
[2026-04-22 13:07:05] | Línea 1848 | ERROR: Kilos no es un número válido: '??' | Contenido: '2848;Vitoria;??;Retrasado'
[2026-04-22 13:07:05] | Línea 1858 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '2858;Palma;SENSOR_FAIL;Retrasado'
[2026-04-22 13:07:05] | Línea 1863 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '2863;Segovia;OVERFLOW;Pendiente'
[2026-04-22 13:07:05] | Línea 1865 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '2865;León;-1485.84;Cancelado'
[2026-04-22 13:07:05] | Línea 1879 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '2879;Móstoles;22.53;Entregado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 1908 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '2908;Pamplona;-1318.44;En_Almacén'
[2026-04-22 13:07:05] | Línea 1924 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '2924;Madrid;888.83;Pendiente;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 1966 | ERROR: ID de envío vacío | Contenido: ';;3478.71;Devuelto'
[2026-04-22 13:07:05] | Línea 1985 | ERROR: ID de envío vacío | Contenido: ';;1341.13;Devuelto'
[2026-04-22 13:07:05] | Línea 1996 | ERROR: Destino vacío | Contenido: '2996;;3806.48;En_Almacén'
[2026-04-22 13:07:05] | Línea 2000 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '3000;Santa_Cruz;ERROR_PESO;Devuelto'
[2026-04-22 13:07:05] | Línea 2004 | ERROR: Destino vacío | Contenido: '3004;;259.89;Pendiente'
[2026-04-22 13:07:05] | Línea 2005 | ERROR: Kilos no es un número válido: '---' | Contenido: '3005;Barcelona;---;Retrasado'
[2026-04-22 13:07:05] | Línea 2026 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '3026;Valladolid;ERROR_PESO;Devuelto'
[2026-04-22 13:07:05] | Línea 2053 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '3053;Palma;-1654.63;En_Ruta'
[2026-04-22 13:07:05] | Línea 2064 | ERROR: Kilos no es un número válido: 'null' | Contenido: '3064;Cartagena;null;Pendiente'
[2026-04-22 13:07:05] | Línea 2097 | ERROR: ID de envío vacío | Contenido: ';;82.89;Pendiente'
[2026-04-22 13:07:05] | Línea 2104 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '3104;Huelva;-3115.57;Devuelto'
[2026-04-22 13:07:05] | Línea 2121 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '3121;Alicante;SENSOR_FAIL;Devuelto'
[2026-04-22 13:07:05] | Línea 2202 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '3202;Valladolid;SENSOR_FAIL;Cancelado'
[2026-04-22 13:07:05] | Línea 2207 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '3207;Ávila;3068.87;Pendiente;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 2216 | ERROR: ID de envío vacío | Contenido: ';;3103.82;En_Almacén'
[2026-04-22 13:07:05] | Línea 2219 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '3219;Valladolid;-4751.64;Retrasado'
[2026-04-22 13:07:05] | Línea 2221 | ERROR: Destino vacío | Contenido: '3221;;3021.02;Devuelto'
[2026-04-22 13:07:05] | Línea 2229 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '3229;Málaga;OVERFLOW;En_Almacén'
[2026-04-22 13:07:05] | Línea 2231 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '3231;Cádiz;OVERFLOW;Entregado'
[2026-04-22 13:07:05] | Línea 2232 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '3232;Salamanca;2499.41;En_Ruta;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 2249 | ERROR: Destino vacío | Contenido: '3249;;1137.9;Entregado'
[2026-04-22 13:07:05] | Línea 2263 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '3263;Zaragoza;SENSOR_FAIL;Devuelto'
[2026-04-22 13:07:05] | Línea 2270 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '3270;Burgos;1591.45;Cancelado;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 2300 | ERROR: Kilos no es un número válido: '---' | Contenido: '3300;Elche;---;Pendiente'
[2026-04-22 13:07:05] | Línea 2327 | ERROR: Kilos no es un número válido: 'SENSOR_FAIL' | Contenido: '3327;Barcelona;SENSOR_FAIL;Entregado'
[2026-04-22 13:07:05] | Línea 2340 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '3340;Jerez;N/A;En_Almacén'
[2026-04-22 13:07:05] | Línea 2347 | ERROR: Kilos no es un número válido: '---' | Contenido: '3347;Terrassa;---;Cancelado'
[2026-04-22 13:07:05] | Línea 2348 | ERROR: Destino vacío | Contenido: '3348;;4828.92;En_Almacén'
[2026-04-22 13:07:05] | Línea 2354 | ERROR: Destino vacío | Contenido: '3354;;342.6;Pendiente'
[2026-04-22 13:07:05] | Línea 2359 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '3359;Cuenca;-2342.34;Devuelto'
[2026-04-22 13:07:05] | Línea 2362 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '3362;Lugo;-1220.22;Cancelado'
[2026-04-22 13:07:05] | Línea 2368 | ERROR: ID de envío vacío | Contenido: ';;4824.8;Cancelado'
[2026-04-22 13:07:05] | Línea 2380 | ERROR: Destino vacío | Contenido: '3380;;4079.59;En_Ruta'
[2026-04-22 13:07:05] | Línea 2385 | ERROR: Kilos no es un número válido: '??' | Contenido: '3385;Cádiz;??;En_Almacén'
[2026-04-22 13:07:05] | Línea 2407 | ERROR: Kilos no es un número válido: 'OVERFLOW' | Contenido: '3407;Barcelona;OVERFLOW;Devuelto'
[2026-04-22 13:07:05] | Línea 2415 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '3415;Elche;-4686.58;Entregado'
[2026-04-22 13:07:05] | Línea 2421 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '3421;Vitoria;-198.35;Pendiente'
[2026-04-22 13:07:05] | Línea 2434 | ERROR: Destino vacío | Contenido: '3434;;2027.53;Entregado'
[2026-04-22 13:07:05] | Línea 2454 | ERROR: Kilos no es un número válido: '??' | Contenido: '3454;Badajoz;??;Entregado'
[2026-04-22 13:07:05] | Línea 2466 | ERROR: Kilos no es un número válido: '---' | Contenido: '3466;Barcelona;---;Retrasado'
[2026-04-22 13:07:05] | Línea 2468 | ERROR: Kilos no es un número válido: 'N/A' | Contenido: '3468;Las_Palmas;N/A;En_Ruta'
[2026-04-22 13:07:05] | Línea 2507 | ERROR: Destino vacío | Contenido: '3507;;2551.69;Entregado'
[2026-04-22 13:07:05] | Línea 2522 | ERROR: Destino vacío | Contenido: '3522;;1944.53;Cancelado'
